No;Branch_Code;Original_Name;Name;Generation;Height;Weight;Type1;Type2;Ability1;Ability2;Ability_Hidden;Color;Gender_Male;Gender_Female;Gender_Unknown;Egg_Steps;Egg_Group1;Egg_Group2;Get_Rate;Base_Experience;Experience_Type;Category;Mechanic;Region_Form;HP;Attack;Defense;SP_Attack;SP_Defense;Speed;Total;E_HP;E_Attack;E_Defense;E_SP_Attack;E_SP_Defense;E_Speed;Set;Card_Number;Have
1;1_0;Bulbasaur;Bulbasaur;1;0.7;6.9;Grass;Poison;Overgrow;;Chlorophyll;Green;87.5;12.5;0;20;Monster;Grass;45;64;1059860;Ordinary;;;45;49;49;65;65;45;318;0;0;0;1;0;0;Base Set;44;
2;2_0;Ivysaur;Ivysaur;1;1;13;Grass;Poison;Overgrow;;Chlorophyll;Green;87.5;12.5;0;20;Monster;Grass;45;142;1059860;Ordinary;;;60;62;63;80;80;60;405;0;0;0;1;1;0;Base Set;30;
3;3_0;Venusaur;Venusaur;1;2;100;Grass;Poison;Overgrow;;Chlorophyll;Green;87.5;12.5;0;20;Monster;Grass;45;263;1059860;Ordinary;;;80;82;83;100;100;80;525;0;0;0;2;1;0;Base Set;15;x
3;3_1;Venusaur;Mega Venusaur;1;2.4;155.5;Grass;Poison;Thick Fat;;;Green;87.5;12.5;0;20;Monster;Grass;45;281;1059860;Ordinary;Mega;;80;100;123;122;120;80;625;0;0;0;2;1;0;Mega Evolution;3;x
3;3_2;Venusaur;Gigamax Venusaur;1;2.4;155.5;Grass;Poison;Thick Fat;;;Green;87.5;12.5;0;20;Monster;Grass;45;281;1059860;Ordinary;Gigamax;;80;82;83;100;100;80;525;0;0;0;2;1;0;SWSH Black Star Promos;SWSH102;x
4;4_0;Charmander;Charmander;1;0.6;8.5;Fire;;Blaze;;Solar Power;Red;87.5;12.5;0;20;Monster;Dragon;45;62;1059860;Ordinary;;;39;52;43;60;50;65;309;0;0;0;0;0;1;Base Set;46;x
5;5_0;Charmeleon;Charmeleon;1;1.1;19;Fire;;Blaze;;Solar Power;Red;87.5;12.5;0;20;Monster;Dragon;45;142;1059860;Ordinary;;;58;64;58;80;65;80;405;0;0;0;1;0;1;Base Set;24;x
6;6_0;Charizard;Charizard;1;1.7;90.5;Fire;Flying;Blaze;;Solar Power;Red;87.5;12.5;0;20;Monster;Dragon;45;267;1059860;Ordinary;;;78;84;78;109;85;100;534;0;0;0;3;0;0;XY Evolutions;11;x
6;6_1;Charizard;Mega Charizard X;1;1.7;110.5;Fire;Dragon;Tough Claws;;;Black;87.5;12.5;0;20;Monster;Dragon;45;285;1059860;Ordinary;Mega;;78;130;111;130;85;100;634;0;0;0;3;0;0;ME Phantasmal Flames;13;x
6;6_2;Charizard;Mega Charizard Y;1;1.7;100.5;Fire;Flying;Drought;;;Red;87.5;12.5;0;20;Monster;Dragon;45;285;1059860;Ordinary;Mega;;78;104;78;159;115;100;634;0;0;0;3;0;0;ME Ascended Heroes;22;
6;6_3;Charizard;Gigamax Charizard;1;1.7;90.5;Fire;Flying;Blaze;;Solar Power;Red;87.5;12.5;0;20;Monster;Dragon;45;267;1059860;Ordinary;Gigamax;;78;84;78;109;85;100;534;0;0;0;3;0;0;SWSH Darkness Ablaze;20;x
7;7_0;Squirtle;Squirtle;1;0.5;9;Water;;Torrent;;Rain Dish;Blue;87.5;12.5;0;20;Monster;Water1;45;63;1059860;Ordinary;;;44;48;65;50;64;43;314;0;0;1;0;0;0;Base Set;63;x
8;8_0;Wartortle;Wartortle;1;1;22.5;Water;;Torrent;;Rain Dish;Blue;87.5;12.5;0;20;Monster;Water1;45;142;1059860;Ordinary;;;59;63;80;65;80;58;405;0;0;1;0;1;0;Base Set;42;
9;9_0;Blastoise;Blastoise;1;1.6;85.5;Water;;Torrent;;Rain Dish;Blue;87.5;12.5;0;20;Monster;Water1;45;265;1059860;Ordinary;;;79;83;100;85;105;78;530;0;0;0;0;3;0;Base Set;2;
9;9_1;Blastoise;Mega Blastoise;1;1.6;101.1;Water;;Mega Launcher;;;Blue;87.5;12.5;0;20;Monster;Water1;45;284;1059860;Ordinary;Mega;;79;103;120;135;115;78;630;0;0;0;0;3;0;;;
9;9_2;Blastoise;Gigamax Blastoise;1;1.6;85.5;Water;;Torrent;;Rain Dish;Blue;87.5;12.5;0;20;Monster;Water1;45;265;1059860;Ordinary;Gigamax;;79;83;100;85;105;78;530;0;0;0;0;3;0;SWSH Black Star Promos;SWSH103;x
10;10_0;Caterpie;Caterpie;1;0.3;2.9;Bug;;Shield Dust;;Run Away;Green;50;50;0;15;Bug;;255;39;1000000;Ordinary;;;45;30;35;20;20;45;195;1;0;0;0;0;0;Base Set;45;
11;11_0;Metapod;Metapod;1;0.7;9.9;Bug;;Shed Skin;;;Green;50;50;0;15;Bug;;120;72;1000000;Ordinary;;;50;20;55;25;25;30;205;0;0;2;0;0;0;Base Set;54;x
12;12_0;Butterfree;Butterfree;1;1.1;32;Bug;Flying;Compound Eyes;;Tinted Lens;White;50;50;0;15;Bug;;45;198;1000000;Ordinary;;;60;45;50;90;80;70;395;0;0;0;2;1;0;Jungle;33;x
12;12_1;Butterfree;Gigamax Butterfree;1;1.1;32;Bug;Flying;Compound Eyes;;Tinted Lens;White;50;50;0;15;Bug;;45;198;1000000;Ordinary;Gigamax;;60;45;50;90;80;70;395;0;0;0;2;1;0;SWSH Darkness Ablaze;2;x
13;13_0;Weedle;Weedle;1;0.3;3.2;Bug;Poison;Shield Dust;;Run Away;Brown;50;50;0;15;Bug;;255;39;1000000;Ordinary;;;40;35;30;20;20;50;195;0;0;0;0;0;1;Base Set;69;
14;14_0;Kakuna;Kakuna;1;0.6;10;Bug;Poison;Shed Skin;;;Yellow;50;50;0;15;Bug;;120;72;1000000;Ordinary;;;45;25;50;25;25;35;205;0;0;2;0;0;0;Base Set;33;
15;15_0;Beedrill;Beedrill;1;1;29.5;Bug;Poison;Swarm;;Sniper;Yellow;50;50;0;15;Bug;;45;198;1000000;Ordinary;;;65;90;40;45;80;75;395;0;2;0;0;1;0;Base Set;17;
15;15_1;Beedrill;Mega Beedrill;1;1.4;40.5;Bug;Poison;Adaptability;;;Yellow;50;50;0;15;Bug;;45;223;1000000;Ordinary;Mega;;65;150;40;15;80;145;495;0;2;0;0;1;0;XY Black Star Promos;XY158;
